seed,lambda,qtd_treino,qtd_treino_real,qtd_treino_sintetico,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,menores20_accuracy,menores20_balanced_accuracy,menores20_f1_macro,menores20_f1_weighted,menores20_precision_macro,menores20_recall_macro,maiores20_accuracy,maiores20_balanced_accuracy,maiores20_f1_macro,maiores20_f1_weighted,maiores20_precision_macro,maiores20_recall_macro,interesse_accuracy,interesse_balanced_accuracy,interesse_f1_macro,interesse_f1_weighted,interesse_precision_macro,interesse_recall_macro
4380,0.00000000,11981,11981,0,0.82156992,0.83973460,0.80792632,0.82201111,0.83784007,0.83973460,0.58333333,0.69880952,0.46374972,0.63694482,0.53125000,0.43675595,0.88529089,0.92600093,0.58740174,0.89635029,0.59872181,0.61733395,0.96989967,0.92539712,0.51433286,0.97843362,0.51648352,0.51410951
4380,0.02000000,11980,11863,117,0.82288918,0.84560265,0.81194848,0.82371621,0.83778323,0.84560265,0.58333333,0.69880952,0.46374972,0.63694482,0.53125000,0.43675595,0.88474204,0.92525466,0.58693030,0.89569868,0.59832878,0.61683644,0.96989967,0.92539712,0.51433286,0.97843362,0.51648352,0.51410951
4380,0.04000000,11985,11740,245,0.82420844,0.85620875,0.82253590,0.82545579,0.85080659,0.85620875,0.59166667,0.74880952,0.51096745,0.64527815,0.58064516,0.48310292,0.88583974,0.92626689,0.58749892,0.89701308,0.59917590,0.61751126,0.96989967,0.92539712,0.51433286,0.97843362,0.51648352,0.51410951
4380,0.06000000,11983,11621,362,0.82387863,0.85621986,0.82172981,0.82498835,0.85020380,0.85621986,0.59166667,0.74880952,0.51096745,0.64527815,0.58064516,0.48310292,0.88529089,0.92531067,0.56827328,0.89690693,0.58008338,0.59697462,0.96989967,0.92539712,0.51433286,0.97843362,0.51648352,0.51410951
4380,0.08000000,11975,11499,476,0.82453826,0.85735532,0.82312802,0.82570794,0.85144467,0.85735532,0.59166667,0.74880952,0.51096745,0.64527815,0.58064516,0.48310292,0.88583974,0.92627220,0.60773074,0.89693616,0.61989970,0.63880842,0.96989967,0.92539712,0.57862447,0.97843362,0.58104396,0.57837320
4380,0.10000000,11986,11381,605,0.82420844,0.86146726,0.82589968,0.82557360,0.85353224,0.86146726,0.60000000,0.77380952,0.53911081,0.65083371,0.60000000,0.51587302,0.88474204,0.92504624,0.56824558,0.89677220,0.57994680,0.59680403,0.96989967,0.92539712,0.51433286,0.97843362,0.51648352,0.51410951
4380,0.12000000,11984,11257,727,0.82354881,0.85793597,0.82301400,0.82479521,0.84877677,0.85793597,0.60000000,0.75714286,0.51634380,0.65361149,0.58064516,0.48847926,0.88419319,0.92478029,0.55043624,0.89631296,0.56151065,0.57798768,0.96989967,0.92539712,0.51433286,0.97843362,0.51648352,0.51410951
4380,0.14000000,11983,11138,845,0.82321900,0.85876617,0.82359882,0.82430012,0.84915429,0.85876617,0.60000000,0.75714286,0.51634380,0.65361149,0.58064516,0.48847926,0.88254665,0.92307083,0.54884957,0.89423572,0.56005072,0.57691927,0.96989967,0.92539712,0.51433286,0.97843362,0.51648352,0.51410951
4380,0.16000000,11978,11014,964,0.82255937,0.85933623,0.82584795,0.82442726,0.85668520,0.85933623,0.60833333,0.76964286,0.51270805,0.66694482,0.59375000,0.48102679,0.88254665,0.92108165,0.54887779,0.89503798,0.55975879,0.57567603,0.96989967,0.92539712,0.51433286,0.97843362,0.51648352,0.51410951
4380,0.18000000,11980,10896,1084,0.82288918,0.85933755,0.82680698,0.82493455,0.85816938,0.85933755,0.60833333,0.76964286,0.51270805,0.66694482,0.59375000,0.48102679,0.88254665,0.92008806,0.54864528,0.89512608,0.55943131,0.57505504,0.96989967,0.92539712,0.51433286,0.97843362,0.51648352,0.51410951
4380,0.20000000,11985,10776,1209,0.82420844,0.86135784,0.82896463,0.82622233,0.86025306,0.86135784,0.60833333,0.76964286,0.51270805,0.66694482,0.59375000,0.48102679,0.88254665,0.92010292,0.54933529,0.89522293,0.56125536,0.57506432,0.96989967,0.92539712,0.51433286,0.97843362,0.51648352,0.51410951
4380,0.22000000,11978,10655,1323,0.82486807,0.86363751,0.82646530,0.82656472,0.85349574,0.86363751,0.61666667,0.77797619,0.51687472,0.67361149,0.59375000,0.48623512,0.88364435,0.92063426,0.54989779,0.89653419,0.56179997,0.57539641,0.96989967,0.92539712,0.51433286,0.97843362,0.51648352,0.51410951
4380,0.24000000,11979,10536,1443,0.82387863,0.86247695,0.82793244,0.82520036,0.85566015,0.86247695,0.61666667,0.77797619,0.51687472,0.67361149,0.59375000,0.48623512,0.88309550,0.92061163,0.53311535,0.89547069,0.54468617,0.55794644,0.96655518,0.91630621,0.46034441,0.97655356,0.46483516,0.45815310
4380,0.26000000,11977,10414,1563,0.82354881,0.86311005,0.82754446,0.82434315,0.85427894,0.86311005,0.61666667,0.77797619,0.51687472,0.67361149,0.59375000,0.48623512,0.88254665,0.92134881,0.51741434,0.89450023,0.52879039,0.54196989,0.96655518,0.91630621,0.46034441,0.97655356,0.46483516,0.45815310
4380,0.28000000,11983,10295,1688,0.82387863,0.86343650,0.82782693,0.82478817,0.85485851,0.86343650,0.61666667,0.77797619,0.51687472,0.67361149,0.59375000,0.48623512,0.88309550,0.92184986,0.53318815,0.89493263,0.54484697,0.55869689,0.96989967,0.92539712,0.51433286,0.97843362,0.51648352,0.51410951
4380,0.30000000,11979,10172,1807,0.82453826,0.86605442,0.83086224,0.82557741,0.85500055,0.86605442,0.62500000,0.79047619,0.52520805,0.68250037,0.59375000,0.49404762,0.88309550,0.92085627,0.51760270,0.89543311,0.52915568,0.54168016,0.96989967,0.92539712,0.51433286,0.97843362,0.51648352,0.51410951
