"categoria","texto","iteracao","seed_sorteio"
"TermoFomento","RESUMO DO TERMO DE FOMENTO Nº 105/2024  
Processo nº 2024-FGHJ3 Registro SIGEFES N° 240567  
Administração Pública: Estado do Espírito Santo por intermédio da Secretaria de Estado de Educação  
Organização da Sociedade Civil: Associação Cultural Educativa e Recreativa de Vila Velha (ACERV)  
Objeto: Apoio financeiro para a implementação do Projeto ""Educação Integral"" no ano letivo de 2025, contemplando atividades extraclasse complementares à educação formal.  
Vigência: 15/04/2025 a 31/12/2025  
Valor Total: R$ 250.000,00  
Dotação Orçamentária: 15.897.0110.2368 ED: 5.4.32.72  
Gestor Da Parceria: Nome do Servidor: Ana Paula Menezes Comissão de Monitoramento e Avaliação: Nome do Servidor: José Carlos Silva Nome do Servidor: Maria Fernandes Pereira Nome do Servidor: Rafaela Santos Costa Vitória, 10 de março de 2025.  
Fernando Neves da Silva Secretário de Estado de Educação","1","0"
"TermoFomento","EXTRATO DE TERMO DE FOMENTO SSP/010/2025 Processo : EDOCS 2025-4M9LJ Registro SIGEFES: 250067 Administração Pública: Secretaria de Estado da Segurança Pública - SSP Organização da Sociedade Civil: Instituto Capixaba de Combate à Violência Objeto: Apoio financeiro para o desenvolvimento do projeto ""Comunidade Segura"" Valor: R$ 45.000,00 (quarenta e cinco mil reais) Vigência: a partir do primeiro dia subsequente ao da publicação até 31/08/2025 Dotação Orçamentária: 10.79.101. 28.456.0220.1238 Elemento de Despesa: 3.3.50.12 Fonte: 1500000000 Gestor Titular: Ana Paula Costa Pereira - Nº Funcional: 3019124 Comissão de Avaliação e Monitoramento: Conforme portaria nº. 078-SSP, de 15 de janeiro de 2025. Vitória, 20 de março de 2025. Pedro Leite Figueira Secretário de Estado da Segurança Pública","2","1"
"TermoFomento","RESUMO DO TERMO DE FOMENTO Nº 027/2025 Processo nº 2025-LQGJH Registro SIGEFES: 250123 Dispensado de Chamamento Público com base no Artigo nº 29 da Lei nº 13.019/2014, por trata-se de recursos decorrentes de emenda parlamentar à Lei Orçamentária Anual - LOA Administração Pública: Estado do Espírito Santo, por intermédio da Secretaria de Estado do Meio Ambiente e Sustentabilidade Organização da Sociedade Civil: Associação Ambientalistas Capixabas Objeto: Apoio financeiro para a realização de projetos ambientais sustentáveis no estado do Espírito Santo, conforme detalhado no plano de trabalho, anexo II Valor Total: R$ 120.000,00 (cento e vinte mil reais), sendo R$ 80.000,00 (oitenta mil reais), provenientes de repasse da administração pública estadual, e R$ 40.000,00 (quarenta mil reais), provenientes de contrapartida da organização da sociedade civil Dotação Orçamentária: 26.785. 0113. 2259 ED: 3.3.50.41 Fonte de Recursos: 1500000000 Prazo de Vigência: vigerá a partir do primeiro dia seguinte ao da publicação de seu extrato na imprensa oficial até 30/12/2026, conforme prazo previsto no anexo Plano de Trabalho para a consecução de seu objeto Gestor da parceria: Nome do Servidor: Maria Fernandes Sampaio Vitória, 15 de maio de 2025. Marcos Aurélio Pereira Costa Secretário de Estado do Meio Ambiente e Sustentabilidade","3","2"
"TermoFomento","RESUMO DO 3º TERMO ADITIVO AO TERMO DE FOMENTO Nº 1234/2025  
ADMINISTRAÇÃO PÚBLICA: Secretaria de Estado do Meio Ambiente  
ORGANIZAÇÃO DA SOCIEDADE CIVIL: Instituto Ambiental Capixaba OBJETO: prorrogar o prazo de vigência do TERMO DE FOMENTO Nº 1234/2025, a partir do dia 07/06/2025 até 31/12/2025, conforme o plano de trabalho revisado. DATA DA ASSINATURA: 09/05/2025 PROCESSO Nº 2024-0LQVX REGISTRO Nº 250187 HEBER DE SOUZA LAUAR Subsecretário de Estado do Meio Ambiente","4","3"
"PortariaConceder","PORTARIA N.º 321-S, DE 15 DE MARÇO DE 2025.
O SECRETÁRIO DE ESTADO DA EDUCAÇÃO , no uso da atribuição que lhe confere o Art. 98, Inciso II da Constituição Estadual e Art.37, Inciso IX da Constituição Federal e o que consta do Decreto nº 1024 de 15/06/2008, resolve:
CONCEDER a JOSÉ CARLOS FERNANDES , NF. 2941035, Supervisor Escolar, Ref. QCE-07, localizado (a) na Diretoria Regional de Educação de Cariacica, a Gratificação por Desempenho Profissional no percentual de 35% (trinta e cinco por cento) do seu vencimento básico, a contar de 15/03/2025. MARIA LÚCIA DE SOUZA SECRETÁRIA DE ESTADO DA EDUCAÇÃO","1","4"
"PortariaConceder","PORTARIA Nº 159-S, DE 13 DE MAIO DE 2025.

O SECRETÁRIO DE ESTADO DA EDUCAÇÃO , no uso da atribuição que lhe confere o Art. 84, Inciso III da Constituição Estadual e Art.37, Inciso VIII da Constituição Federal e o que consta da Lei Complementar n.º 201 de 25/11/2005 alterada pela Lei Complementar nº 678 de 15/09/2014, Art. 5º, resolve: CONCEDER a MARIA LUIZA DE OLIVEIRA , NF. 3456789, Assistente Administrativo Escolar - Ref. QCE-08, localizado (a) no (a) Diretoria Regional de Educação de Guarapari, a Gratificação de Desempenho Funcional no percentual de 30% (trinta por cento) do seu vencimento básico, a contar de 12/05/2025.

ANDRÉ LUÍS PACHECO FERREIRA
SECRETÁRIO DE ESTADO DA EDUCAÇÃO","2","5"
"PortariaConceder","PORTARIA Nº 567-S, DE 13 DE MAIO DE 2025.

O SECRETÁRIO DE ESTADO DA SAÚDE , no uso da atribuição que lhe confere o Artigo 98, Inciso II da Constituição Estadual e o Art. 37, Inciso IX da Constituição Federal, e tendo em vista o que consta do processo nº 2025-123456, resolve:

CONCEDER a JOSÉ ALVES DOS SANTOS , NF. 123456789, Técnico de Enfermagem Nível II - Ref. QCE-05, localizado (a) no (a) Hospital Estadual Alberto Feijó, a Gratificação Especial por Atividade Insalubre no percentual de 25% (vinte e cinco por cento) do seu vencimento básico, a contar de 14/05/2025. 

RAQUEL DE SOUZA MACHADO
SECRETÁRIA DE ESTADO DA SAÚDE","3","6"
"PortariaConceder","PORTARIA Nº 610-S, DE 15 DE MAIO DE 2025

O SECRETÁRIO DE ESTADO DA EDUCAÇÃO , no uso da atribuição que lhe confere o Art. 98, Inciso II da Constituição Estadual e Art.37, Inciso IX da Constituição Federal e o que consta da Lei Complementar n.º 233 de 10/04/2002 alterada pela Lei Complementar nº 555 de 30/06/2010, Art. 6º, resolve:

CONCEDER a PAULO CESAR SOUZA RIBEIRO , NF. 4987325, Professor de Matemática - Ref. QCE-07, localizado (a) no (a) Escola Estadual de Ensino Fundamental e Médio Carlos Drummond de Andrade, a Gratificação de Risco de Vida no percentual de 40% (quarenta por cento) do seu vencimento básico, a contar de 14/05/2025.

RODRIGO FERREIRA DE ALMEIDA SECRETÁRIO DE ESTADO DA EDUCAÇÃO","4","7"
"PortariaConceder","PORTARIA N.º 123-S, DE 05 DE MAIO DE 2025.
O SECRETÁRIO DE ESTADO DE EDUCAÇÃO , no uso das atribuições que lhe confere o Artigo 47 da Lei Complementar nº 685 de 29 de outubro de 1996, e tendo em vista o que consta do processo nº 2025-3MJKY; RESOLVE: CONCEDER afastamento ao servidor público MÁRIO RIBEIRO SANTOS , número funcional 4875231, vinculado à Secretaria de Estado de Educação - SEE, para aperfeiçoamento profissional através do curso ""Educação Inclusiva e Acessibilidade"", promovido pela Universidade Federal do Espírito Santo - UFES, no período de 06 de junho a 17 de julho de 2025. Fundamentado no Artigo 89, inciso III da Lei Complementar nº 48 de 12 de janeiro de 1995.
Esta Portaria entra em vigor na data de sua publicação, com efeitos retroativos à solicitação protocolada no dia 03 de maio de 2025. PAULO CESAR VIEIRA DE SOUZA SECRETÁRIO DE ESTADO DE EDUCAÇÃO","5","8"
"PortariaConceder","PORTARIA Nº 712-S, DE 15 DE MAIO DE 2025  
O SECRETÁRIO DE ESTADO DA SAÚDE , no uso da atribuição que lhe confere o Art. 98, Inciso II da Constituição Estadual e Art.37, Inciso IX da Constituição Federal e o que consta da Lei Complementar n.º 240 de 15/05/2003 alterada pela Lei Complementar nº 689 de 12/07/2012, Art. 5º, resolve:  
CONCEDER a MARIA CLARA PEREIRA DA SILVA , NF. 8943210, Coordenadora de Programas de Saúde Mental, Ref. QCE-08, localizado (a) no (a) Secretaria Executiva Regional I - SER I, a Gratificação de Risco de Vida no percentual de 50% (cinquenta por cento) do seu vencimento básico, a contar de 16/05/2025.  
RODRIGO SANTOS DUARTE  
SECRETÁRIO DE ESTADO DA SAÚDE","6","9"
